R_bohr,E_exact,E_vqe,E_diff_mHa,converged
0.5,-0.41078847047098677,-0.41050766389032844,0.28080658065832154,True
0.7,-0.8463259843967521,-0.8454329927914697,0.8929916052824449,True
1.0,-1.0789697691977396,-1.0786653098041037,0.3044593936358808,True
1.2,-1.1266988216562042,-1.1258296504503675,0.8691712058366274,True
1.4,-1.1372759436170647,-1.1370689040249,0.20703959216472612,True
1.8,-1.1108459773448587,-1.1107866076818569,0.059369663001795914,True
2.2,-1.0647393473209672,-1.0646776266065,0.06172071446730598,True
2.8,-1.0011251641870724,-1.0011222880659276,0.0028761211448014024,True
3.5,-0.9576751695331039,-0.9529867585093977,4.688411023706207,False
5.0,-0.9348893504672744,-0.9334185251564657,1.4708253108086655,False
